Date_Time,Vegetables,Fruit,Protein,Dessert,Starch,Other
2019-08-02 05:20:59,0.1736924236,0.0748,0.2770486196115,0.155992,0.251,0.0111
2019-04-01 04:05:16,0.1857373596,0.11395,0.1982585226075,0.141437,0.134,0.0421
2019-05-22 02:37:51,0.1485427384,0.09054,0.2419202797167,0.136009,0.094,0.0338
2019-10-31 11:45:54,0.161183984,0.12109,0.2620716131038,0.137444,0.154,0.1117
2017-11-01 20:19:40,0.1495114449,0.14297,0.1970838646561,0.148964,0.092,0.0391
2019-06-11 08:09:56,0.1651090919,0.11958,0.2530771683958,0.127997,0.252,0.0491
2018-01-13 17:46:06,0.1860197919,0.07889,0.2750285839305,0.148345,0.229,0.031
2018-03-16 16:48:55,0.155353459,0.092,0.2222112241715,0.134271,0.199,0.1023
2019-06-08 23:10:11,0.133264303,0.11521,0.1726853602735,0.157597,0.194,0.0827
2019-05-18 22:12:11,0.1573905853,0.10375,0.2092546827987,0.151819,0.183,0.0894
2019-01-22 13:05:50,0.1645912008,0.09798,0.2001377483961,0.145448,0.212,0.0335
2019-09-03 23:04:51,0.1533237647,0.10756,0.1793594932978,0.136496,0.206,0.019
2018-11-30 12:29:05,0.1921760169,0.09329,0.2356115186476,0.13377,0.295,0.0442
2018-06-06 06:06:05,0.1635153886,0.10429,0.2268297408265,0.133557,0.242,0.0754
2019-04-23 12:59:14,0.1571132083,0.10459,0.2506840471039,0.14771,0.202,0.0444
2019-05-24 12:26:01,0.1374318419,0.12174,0.2465230667894,0.138251,0.256,0.0962
2018-01-07 08:31:21,0.1802689475,0.1077,0.2684612144576,0.12787,0.143,0.0724
2019-10-14 10:01:52,0.1818641037,0.08374,0.2003548994262,0.128974,0.141,0.0475
2018-12-26 02:22:02,0.157001497,0.10766,0.2682662088614,0.153313,0.265,0.0251
2017-12-20 18:20:52,0.1462963722,0.0964,0.2367084062936,0.123229,0.24,0.054
2019-01-05 10:36:07,0.1543225251,0.10522,0.3006112009856,0.136618,0.217,0.029
2019-05-12 22:50:00,0.1540886504,0.07568,0.2223209615473,0.133529,0.333,0.0265
2018-01-18 19:52:22,0.1866762056,0.09814,0.1692712078841,0.153694,0.222,0.0446
2018-05-01 04:43:17,0.1599433536,0.09878,0.2342507702262,0.126824,0.294,0.0693
2018-01-27 18:26:58,0.159840128,0.10872,0.2417579965269,0.158739,0.269,0.0419
2018-11-30 15:37:50,0.1486061483,0.05504,0.2339476582497,0.162839,0.165,0.0419
2019-09-13 23:31:46,0.1534079495,0.08349,0.1945156436372,0.133682,0.225,0.0472
2019-08-27 02:18:39,0.1654485348,0.06973,0.2166605454826,0.130841,0.267,0.0564
2018-05-16 11:54:10,0.1495987393,0.0742,0.2474958059198,0.154299,0.229,0.0634
2018-05-11 05:18:55,0.1453600541,0.07456,0.236706422043,0.150581,0.25,0.0493
2017-12-05 13:51:56,0.1708350959,0.0413,0.18778801354,0.130314,0.25,0.045
2018-12-04 09:39:25,0.1625604345,0.1086,0.2382248615616,0.14613,0.12,0.0359
2019-03-21 01:33:14,0.1580182055,0.08563,0.2603413068283,0.139024,0.222,0.052
2018-05-20 01:36:47,0.1387694434,0.14409,0.2363524074534,0.149858,0.207,0.0818
2018-06-25 23:03:52,0.1729569546,0.10698,0.265704842565,0.119276,0.125,-0.0124
2018-11-18 23:47:42,0.1532690879,0.09581,0.234440811477,0.144071,0.283,0.0743
2018-11-24 03:43:23,0.1695045457,0.10026,0.1679022036142,0.136952,0.249,0.0579
2019-10-22 16:18:14,0.1562686861,0.05241,0.2377083794999,0.144765,0.202,0.0664
2019-09-24 23:04:55,0.1463977008,0.06564,0.2023787281793,0.147334,0.274,0.0343
2018-07-08 16:51:34,0.2010168269,0.11698,0.1627912802223,0.141973,0.256,0.0796
2018-07-04 11:44:22,0.1489053085,0.07716,0.2214564312102,0.129915,0.079,0.0696
2019-01-03 00:36:16,0.1582878083,0.09552,0.193383585902,0.150833,0.044,0.0466
2018-03-23 06:05:54,0.165560212,0.12298,0.1677848641072,0.134073,0.232,0.0982
2019-04-10 04:46:50,0.1707814249,0.08424,0.2358523344991,0.146596,0.167,0.0497
2018-09-06 07:49:19,0.1274955507,0.07373,0.2067944232464,0.143281,0.216,0.0602
2018-10-05 22:20:39,0.1821061177,0.13166,0.204876335799,0.158265,0.185,0.0263
2018-10-28 11:38:25,0.1437640498,0.13898,0.2383743934816,0.153532,0.202,0.052
2019-09-09 09:05:07,0.1472564805,0.10501,0.2197968329407,0.145617,0.205,0.0464
2018-07-27 10:30:20,0.1750641746,0.07536,0.2364844814686,0.109128,0.367,0.0005
2018-05-05 21:05:21,0.1484077751,0.11847,0.265908295972,0.133445,0.179,0.0129
2018-04-11 14:51:17,0.1553662753,0.07906,0.2357827414641,0.131039,0.248,0.0592
2019-11-02 04:33:23,0.1789818607,0.07417,0.2924792179931,0.165204,0.256,0.0387
2019-08-28 22:19:33,0.1326090638,0.12373,0.2687114806793,0.111929,0.371,0.0462
2017-12-10 17:29:30,0.158218421,0.07839,0.2361311426452,0.136069,0.248,0.0025
2019-07-19 04:22:21,0.1757936383,0.11348,0.2906327736194,0.139074,0.159,0.0322
2018-06-09 08:58:47,0.1664103276,0.10759,0.2849654861579,0.121682,0.082,0.0719
2019-02-18 19:35:19,0.1301550039,0.13587,0.2323241605013,0.132247,0.268,0.078
2019-06-02 12:55:54,0.1680962244,0.15424,0.2278346989415,0.134238,0.174,0.0472
2018-10-06 06:04:00,0.1709268069,0.10523,0.2097622672548,0.127599,0.267,0.0305
2019-10-07 14:58:07,0.1226493096,0.14974,0.2565202770557,0.105683,0.2,0.0585
2018-11-16 03:03:42,0.1908197009,0.08943,0.2329646143827,0.154472,0.298,0.0446
2019-04-19 00:01:00,0.1589522607,0.13336,0.181102908537,0.140427,0.207,0.0184
2019-10-03 01:19:43,0.1706795813,0.07781,0.2344619678227,0.131659,0.274,0.0384
2018-08-12 09:02:43,0.169650939,0.06533,0.2399830718538,0.169313,0.26,0.042
2018-07-06 05:15:11,0.1599241561,0.12147,0.2540348374243,0.139978,0.298,0.0578
2019-03-02 16:25:05,0.1503925441,0.13353,0.221168653848,0.137206,0.084,0.0266
2019-03-21 19:46:12,0.1502514638,0.08898,0.1829753081345,0.137859,0.157,0.067
2018-02-03 21:32:19,0.1695978007,0.07958,0.2540912724046,0.143184,0.257,0.0539
2019-02-15 08:11:34,0.1346616161,0.08173,0.2846356519145,0.133745,0.3,0.0444
2018-09-14 14:18:23,0.159780998,0.10537,0.2054497207447,0.144973,0.216,0.0511
2018-11-04 05:21:57,0.1798522929,0.08698,0.243861109332,0.14051,0.344,0.0259
2019-02-17 01:04:46,0.1662468333,0.10315,0.2031694316713,0.159519,0.114,0.0371
2019-10-24 12:34:35,0.1594702959,0.10835,0.2416044261862,0.153693,0.148,0.0381
2018-02-18 16:50:39,0.169061893,0.10923,0.2146176039299,0.139018,0.249,0.0427
2018-08-02 08:19:09,0.1552990015,0.09553,0.2178117522066,0.139436,0.162,0.0115
2019-10-08 13:47:42,0.1547342963,0.09668,0.2271349719205,0.148044,0.155,0.0116
2019-06-08 09:05:18,0.1402045366,0.08558,0.2436369629429,0.154264,0.244,0.0781
2018-08-29 23:01:25,0.1567195154,0.11093,0.29521753084,0.146073,0.236,0.1128
2018-10-20 15:03:16,0.1138045275,0.13075,0.2784681350633,0.144009,0.067,0.0464
2019-08-13 21:08:34,0.1467978178,0.10358,0.1950328843082,0.125941,0.092,0.0477
2019-04-10 16:02:12,0.1068741557,0.12695,0.2356732250068,0.133435,0.133,0.0442
2018-10-16 07:42:31,0.1709589615,0.08701,0.2480015509709,0.13411,0.204,0.0414
2018-12-08 19:48:56,0.1405782561,0.08792,0.2154644460635,0.12915,0.231,0.0423
2019-05-30 13:51:28,0.1523961201,0.09064,0.230047393885,0.13472,0.245,0.0236
